Year,Electricity from coal (MWh),Electricity from gas (MWh),Electricity from hydro (MWh),Electricity from other renewables including bioenergy (MWh),Electricity from solar (MWh),Electricity from oil (MWh),Electricity from wind (MWh),Electricity from nuclear (MWh)
1965,0.0,0.0,42634000.0,2676000.0,0.0,0.0,0.0,3510000.0
1966,0.0,0.0,43720000.0,3351000.0,0.0,0.0,0.0,3863000.0
1967,0.0,0.0,42340000.0,3475000.0,0.0,0.0,0.0,3152000.0
1968,0.0,0.0,42677000.0,3617000.0,0.0,0.0,0.0,2576000.0
1969,0.0,0.0,41166000.0,3812000.0,0.0,0.0,0.0,1679000.0
1970,0.0,0.0,40373000.0,4228000.0,0.0,0.0,0.0,3176000.0
1971,0.0,0.0,39079000.0,4209000.0,0.0,0.0,0.0,3365000.0
1972,0.0,0.0,41348000.0,3807000.0,0.0,0.0,0.0,3626000.0
1973,0.0,0.0,37523000.0,3845000.0,0.0,0.0,0.0,3142000.0
1974,0.0,0.0,37795000.0,4245000.0,0.0,0.0,0.0,3410000.0
1975,0.0,0.0,41021000.0,3986000.0,0.0,0.0,0.0,3800000.0
1976,0.0,0.0,39176000.0,3812000.0,0.0,0.0,0.0,3807000.0
1977,0.0,0.0,51139000.0,3730000.0,0.0,0.0,0.0,3385000.0
1978,0.0,0.0,45491000.0,3811000.0,0.0,0.0,0.0,4428000.0
1979,0.0,0.0,45947000.0,3825000.0,0.0,0.0,0.0,2628000.0
1980,0.0,0.0,45244000.0,3960000.0,0.0,0.0,0.0,2208000.0
1981,0.0,0.0,43034000.0,3469000.0,0.0,0.0,0.0,2707000.0
1982,0.0,0.0,41461000.0,3521000.0,0.0,0.0,0.0,6804000.0
1983,0.0,0.0,41445000.0,3393000.0,0.0,0.0,0.0,5783000.0
1984,0.0,0.0,42401000.0,3472000.0,0.0,0.0,0.0,6887000.0
1985,30023000.0,24712000.0,41092000.0,3212000.0,0.0,76174000.0,0.0,7024000.0
1986,31004000.0,26871000.0,41096000.0,3501000.0,0.0,77483000.0,0.0,8758000.0
1987,33034999.999999996,31732000.0,39505000.0,3693000.0,0.0,89941000.0,0.0,174000.0
1988,33897000.0,32420000.0,40676000.0,3787000.0,0.0,89702000.0,0.0,0.0
1989,31867000.0,34407000.0,34057000.0,3197000.0,2000.0,101785000.0,2000.0,0.0
1990,32049999.999999996,39710000.0,31630000.0,3270000.0,0.0,106490000.0,0.0,0.0
1991,28500000.0,36340000.0,42240000.0,3290000.0,0.0,108060000.0,0.0,0.0
1992,21360000.0,35480000.0,42200000.0,3560000.0,10000.0,119760000.0,0.0,0.0
1993,16660000.0,39960000.0,41420000.0,3790000.0,10000.0,117550000.0,0.0,0.0
1994,19860000.0,40800000.0,44660000.0,3570000.0,10000.0,119540000.0,10000.0,0.0
1995,24120000.0,47000000.0,37780000.0,3660000.0,10000.0,124420000.0,10000.0,0.0
1996,22080000.0,50190000.0,42040000.0,4139999.9999999995,10000.0,120560000.0,30000.0,0.0
1997,20510000.0,61290000.0,41600000.0,4460000.0,10000.0,117820000.0,120000.0,0.0
1998,23310000.0,70880000.0,41220000.0,5010000.0,20000.0,112260000.0,230000.0,0.0
1999,23810000.0,86980000.0,45370000.0,5530000.0,20000.0,96490000.0,400000.0,0.0
2000,26280000.0,101360000.0,44200000.0,6090000.0,20000.0,90640000.0,560000.0,0.0
2001,31730000.0,104190000.0,46810000.0,6340000.0,20000.0,80810000.0,1180000.0,0.0
2002,35450000.0,99410000.0,39520000.0,7370000.0,20000.0,93590000.0,1400000.0,0.0
2003,38810000.0,117300000.0,36670000.0,8710000.0,20000.0,82410000.0,1460000.0,0.0
2004,45520000.0,129840000.0,42340000.0,9660000.0,30000.0,65590000.0,1850000.0,0.0
2005,43610000.0,149330000.0,36070000.0,9990000.0,30000.0,54350000.0,2340000.0,0.0
2006,44210000.0,158140000.0,36990000.0,10640000.0,40000.0,53680000.0,2970000.0,0.0
2007,44110000.0,172710000.0,32820000.0,10830000.0,40000.0,42670000.0,4030000.0000000005,0.0
2008,43070000.0,172770000.0,41620000.0,11490000.0,190000.0,38500000.0,4860000.0,0.0
2009,39740000.0,147360000.0,49140000.0,12900000.0,680000.0,31220000.0,6540000.0,0.0
2010,39730000.0,152810000.0,51120000.0,14820000.0,1910000.0,28390000.0,9130000.0,0.0
2011,44730000.0,144600000.0,45820000.0,16480000.0,10800000.0,27450000.0,9860000.0,0.0
2012,49140000.0,129139999.99999999,41870000.0,18080000.0,18860000.0,25980000.0,13410000.0,0.0
2013,45100000.0,108910000.0,52770000.0,22740000.0,21590000.0,21060000.0,14900000.0,0.0
2014,43450000.0,93660000.0,58550000.0,24640000.0,22310000.0,19650000.0,15180000.0,0.0
2015,43200000.0,110880000.0,45540000.0,25570000.0,22940000.0,17980000.0,14840000.0,0.0
2016,35610000.0,126170000.0,42430000.0,25790000.0,22100000.0,17410000.0,17690000.0,0.0
2017,32630000.000000004,140360000.0,36200000.0,25570000.0,24380000.0,16450000.0,17740000.0,0.0
2018,28470000.0,128560000.0,48790000.0,25250000.0,22650000.0,15950000.0,17720000.0,0.0
2019,18840000.0,141700000.0,46320000.0,25620000.0,23690000.0,14980000.0,20200000.0,0.0
2020,13380000.0,133699999.99999999,47550000.0,25650000.0,24940000.0,14090000.0,18760000.0,0.0
2021,14190000.0,140730000.0,44660000.0,25770000.0,24470000.0,12420000.0,20950000.0,0.0
